School Year,Division Number,Division Name,FT Count,PT Count,Total Count
2019-2020,1,Accomack County,"           5,161",               1,"           5,162"
2019-2020,2,Albemarle County,"          14,404",              31,"          14,435"
2019-2020,101,Alexandria City,"          16,295",              12,"          16,307"
2019-2020,3,Alleghany County,"           2,024",,"           2,024"
2019-2020,4,Amelia County,"           1,729",               2,"           1,731"
2019-2020,5,Amherst County,"           4,115",,"           4,115"
2019-2020,6,Appomattox County,"           2,279",,"           2,279"
2019-2020,7,Arlington County,"          28,151",,"          28,151"
2019-2020,8,Augusta County,"          10,339",               3,"          10,342"
2019-2020,9,Bath County,             529,,             529
2019-2020,10,Bedford County,"           9,555",               7,"           9,562"
2019-2020,11,Bland County,             693,,             693
2019-2020,12,Botetourt County,"           4,672",,"           4,672"
2019-2020,102,Bristol City,"           2,255",,"           2,255"
2019-2020,13,Brunswick County,"           1,538",,"           1,538"
2019-2020,14,Buchanan County,"           2,676",,"           2,676"
2019-2020,15,Buckingham County,"           2,113",,"           2,113"
2019-2020,103,Buena Vista City,             895,,             895
2019-2020,16,Campbell County,"           7,921",,"           7,921"
2019-2020,17,Caroline County,"           4,253",,"           4,253"
2019-2020,18,Carroll County,"           3,713",,"           3,713"
2019-2020,19,Charles City County,             620,,             620
2019-2020,20,Charlotte County,"           1,763",,"           1,763"
2019-2020,104,Charlottesville City,"           4,542",               2,"           4,544"
2019-2020,136,Chesapeake City,"          41,597",,"          41,597"
2019-2020,21,Chesterfield County,"          62,614",              55,"          62,669"
2019-2020,22,Clarke County,"           1,924",               2,"           1,926"
2019-2020,202,Colonial Beach,             652,,             652
2019-2020,106,Colonial Heights City,"           2,899",,"           2,899"
2019-2020,107,Covington City,"           1,018",,"           1,018"
2019-2020,23,Craig County,             588,,             588
2019-2020,24,Culpeper County,"           8,516",               5,"           8,521"
2019-2020,25,Cumberland County,"           1,321",,"           1,321"
2019-2020,108,Danville City,"           5,702",,"           5,702"
2019-2020,26,Dickenson County,"           2,064",,"           2,064"
2019-2020,27,Dinwiddie County,"           4,347",,"           4,347"
2019-2020,28,Essex County,"           1,320",,"           1,320"
2019-2020,29,Fairfax County,"         188,887",              43,"         188,930"
2019-2020,109,Falls Church City,"           2,648",               1,"           2,649"
2019-2020,30,Fauquier County,"          11,181",,"          11,181"
2019-2020,31,Floyd County,"           1,919",               4,"           1,923"
2019-2020,32,Fluvanna County,"           3,549",,"           3,549"
2019-2020,135,Franklin City,"           1,078",,"           1,078"
2019-2020,33,Franklin County,"           6,887",,"           6,887"
2019-2020,34,Frederick County,"          13,875",               5,"          13,880"
2019-2020,110,Fredericksburg City,"           3,755",,"           3,755"
2019-2020,111,Galax City,"           1,338",,"           1,338"
2019-2020,35,Giles County,"           2,389",               5,"           2,394"
2019-2020,36,Gloucester County,"           5,306",,"           5,306"
2019-2020,37,Goochland County,"           2,619",,"           2,619"
2019-2020,38,Grayson County,"           1,556",,"           1,556"
2019-2020,39,Greene County,"           2,976",,"           2,976"
2019-2020,40,Greensville County,"           2,223",,"           2,223"
2019-2020,41,Halifax County,"           4,896",,"           4,896"
2019-2020,112,Hampton City,"          19,589",               1,"          19,590"
2019-2020,42,Hanover County,"          17,541",,"          17,541"
2019-2020,113,Harrisonburg City,"           6,611",               2,"           6,613"
2019-2020,43,Henrico County,"          51,786",,"          51,786"
2019-2020,44,Henry County,"           7,381",,"           7,381"
2019-2020,45,Highland County,             218,,             218
2019-2020,114,Hopewell City,"           4,283",,"           4,283"
2019-2020,46,Isle of Wight County,"           5,630",,"           5,630"
2019-2020,48,King George County,"           4,518",,"           4,518"
2019-2020,50,King William County,"           2,188",,"           2,188"
2019-2020,49,King and Queen County,             833,,             833
2019-2020,51,Lancaster County,"           1,079",,"           1,079"
2019-2020,52,Lee County,"           3,192",,"           3,192"
2019-2020,137,Lexington City,             503,,             503
2019-2020,53,Loudoun County,"          83,606",             327,"          83,933"
2019-2020,54,Louisa County,"           4,987",,"           4,987"
2019-2020,55,Lunenburg County,"           1,590",,"           1,590"
2019-2020,115,Lynchburg City,"           8,197",              41,"           8,238"
2019-2020,56,Madison County,"           1,659",              67,"           1,726"
2019-2020,143,Manassas City,"           7,789",,"           7,789"
2019-2020,144,Manassas Park City,"           3,640",               1,"           3,641"
2019-2020,116,Martinsville City,"           1,930",,"           1,930"
2019-2020,57,Mathews County,"           1,008",,"           1,008"
2019-2020,58,Mecklenburg County,"           4,199",               6,"           4,205"
2019-2020,59,Middlesex County,"           1,208",,"           1,208"
2019-2020,60,Montgomery County,"          10,016",              86,"          10,102"
2019-2020,62,Nelson County,"           1,695",,"           1,695"
2019-2020,63,New Kent County,"           3,354",,"           3,354"
2019-2020,117,Newport News City,"          28,650",               5,"          28,655"
2019-2020,118,Norfolk City,"          29,837",,"          29,837"
2019-2020,65,Northampton County,"           1,520",,"           1,520"
2019-2020,66,Northumberland County,"           1,279",,"           1,279"
2019-2020,119,Norton City,             818,,             818
2019-2020,67,Nottoway County,"           1,990",,"           1,990"
2019-2020,68,Orange County,"           5,089",               3,"           5,092"
2019-2020,69,Page County,"           3,352",               2,"           3,354"
2019-2020,70,Patrick County,"           2,558",,"           2,558"
2019-2020,120,Petersburg City,"           4,209",               2,"           4,211"
2019-2020,71,Pittsylvania County,"           8,723",,"           8,723"
2019-2020,142,Poquoson City,"           2,114",              23,"           2,137"
2019-2020,121,Portsmouth City,"          13,991",,"          13,991"
2019-2020,72,Powhatan County,"           4,346",              10,"           4,356"
2019-2020,73,Prince Edward County,"           2,055",               2,"           2,057"
2019-2020,74,Prince George County,"           6,353",,"           6,353"
2019-2020,75,Prince William County,"          92,237",              33,"          92,270"
2019-2020,77,Pulaski County,"           4,096",,"           4,096"
2019-2020,122,Radford City,"           1,642",,"           1,642"
2019-2020,78,Rappahannock County,             791,,             791
2019-2020,123,Richmond City,"          25,211",               1,"          25,212"
